location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-05-01,5.0,219.8,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-02,18.0,216.27,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-03,7.3,216.27,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-04,2.2,215.27,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-05,8.1,221.84,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-06,3.1,231.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-07,3.8,234.5,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-08,4.1,238.88,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-09,3.6,241.1,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-10,1.0,232.88,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-11,1.5,220.82,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-12,2.3,207.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-13,15.0,199.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-14,2.7,193.54,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-15,3.1,183.93,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-16,1.6,178.89,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-17,8.8,182.65,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-18,2.0,189.11,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-19,4.4,189.99,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-20,8.0,192.2,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-21,9.2,199.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-22,7.7,213.29,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-23,4.7,229.14,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-24,8.1,250.19,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-25,7.0,275.06,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-26,12.6,296.17,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-27,2.6,315.23,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-28,17.0,348.14,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-29,0.2,387.15,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-30,12.5,405.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-05-31,15.1,420.7,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-01,8.3,416.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-02,15.3,416.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-03,11.3,450.86,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-04,22.2,523.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-05,5.5,601.56,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-06,4.5,650.63,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-07,1.9,622.73,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-08,9.8,526.23,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-09,17.8,445.68,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-10,7.5,413.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-11,1.5,416.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-12,8.4,440.57,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-13,8.5,448.78,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-14,4.5,431.51,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-15,12.8,420.7,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-16,12.8,421.67,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-17,1.6,411.1,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-18,4.3,411.1,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-19,4.8,418.76,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-20,5.4,405.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-21,5.9,374.84,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-22,3.2,350.56,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-23,13.2,348.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-24,9.6,368.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-25,25.5,388.05,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-26,9.1,394.37,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-27,1.2,405.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-28,2.1,434.51,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-29,1.8,427.55,low,default_low_unconfirmed
"Lagos, Nigeria",2010-06-30,0.8,377.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-01,6.0,330.13,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-02,11.2,301.0,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-03,2.0,282.79,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-04,2.2,277.61,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-05,5.0,294.12,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-06,10.9,315.96,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-07,5.8,322.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-08,1.7,319.63,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-09,13.4,333.19,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-10,21.9,371.39,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-11,2.5,451.9,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-12,2.2,689.24,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-13,6.8,1036.53,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-14,9.4,960.61,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-15,16.0,720.11,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-16,40.0,715.14,low,default_low_unconfirmed
